hgnc	chrom	lof_indel	lof_snv	missense_indel	missense_snv	p_lof	p_func	fdr_lof	bonferroni_lof
RPL15	3	0	0	0	1	1	1.24949278592376e-05	1	1
RPL29	3	0	0	0	1	1	1.29454315103038e-05	1	1
RPL5	1	0	2	0	0	6.0848227958012e-12	2.26927376632779e-10	9.06996527327073e-10	1.54189409645602e-08
RPRD2	1	0	0	0	1	1	8.75687950552984e-05	1	1
RPS5	19	0	0	0	1	1	1.92521878285837e-05	1	1
RPS6KA1	1	0	0	0	1	1	5.48769356139224e-05	1	1
RPS6KA2	6	0	0	0	1	1	6.22408242670952e-05	1	1
RPS6KB2	11	0	0	0	1	1	4.22468165382572e-05	1	1
RPS6KC1	1	0	0	0	1	1	6.15102129101557e-05	1	1
RPTN	1	0	0	0	1	1	4.43908143844768e-05	1	1
RPTOR	17	0	0	0	1	1	0.00012024951851507	1	1
RPUSD4	11	0	1	0	1	3.74387715274647e-06	4.82841416979528e-10	6.07946138686368e-05	0.00948698470505956
RRAD	16	0	0	0	1	1	2.64175238574483e-05	1	1
RRAGA	9	0	0	0	1	1	2.75342355343711e-05	1	1
RREB1	6	0	0	0	1	1	0.0001350148568206	1	1
RS1	X	0	0	0	1	1	4.19019785559749e-06	1	1
RSPO1	1	0	0	0	1	1	2.14448747731449e-05	1	1
RSPO3	6	0	0	0	1	1	1.80614379065093e-05	1	1
RTL1	14	0	0	0	1	1	1.79140706179391e-05	1	1
RTP4	3	0	0	0	1	1	1.5252995359141e-05	1	1
RUFY2	10	0	0	0	1	1	3.90235782845962e-05	1	1
RUNX3	1	0	0	0	1	1	3.83312160095368e-05	1	1
RUVBL1	3	0	1	0	1	4.68272692787731e-06	5.19735158596513e-10	6.1307779113355e-05	0.0118660300352411
RUVBL2	19	0	0	0	2	1	1.1510756389938e-09	1	1
RXRA	9	0	0	0	1	1	4.18870071411178e-05	1	1
RYR1	19	0	0	0	1	1	0.000412345200706644	1	1
RYR2	1	0	0	0	4	1	4.18337240766747e-16	1	1
RYR3	15	1	1	0	4	6.79897432837048e-10	1.53460809165358e-24	3.74534803219365e-08	1.72286009480908e-06
S1PR4	19	1	0	0	0	2.64575210473929e-06	3.40100324121316e-05	6.07946138686368e-05	0.00670433583340936
SAMD11	1	1	1	0	0	1.72418411484637e-11	1.09816899025647e-09	1.98594661228213e-09	4.36908254702069e-08
SAMD8	10	0	0	0	1	1	2.20367233873767e-05	1	1
SAP130	2	0	1	0	0	9.80649227900416e-06	7.20550791036017e-05	7.78985938401146e-05	0.0248496514349965
SAP18	13	0	0	0	1	1	1.32189820859483e-05	1	1
SART1	11	1	1	0	0	2.99923503066266e-11	2.17051739474444e-09	2.81483761766637e-09	7.60006156769919e-08
SATB1	3	0	0	0	1	1	5.14552815013581e-05	1	1
SBF1	22	0	0	0	3	1	8.19457942826396e-13	1	1
SBNO1	12	0	0	0	1	1	8.82705387420852e-05	1	1
SBNO2	19	0	0	0	1	1	7.14587930458728e-05	1	1
SCAF11	12	0	0	0	1	1	8.29595149156983e-05	1	1
SCAMP1	5	0	0	0	1	1	2.02866255917632e-05	1	1
SCAMP2	15	0	0	0	1	1	2.13158625279888e-05	1	1
SCAND3	6	0	0	0	1	1	7.44045910102206e-05	1	1
SCAP	3	0	0	0	2	1	4.58373956327688e-09	1	1
SCEL	13	0	0	0	1	1	4.08875232364124e-05	1	1
SCN10A	3	0	0	0	2	1	8.60233266733520e-09	1	1
SCN4B	11	0	0	0	1	1	1.73096931713533e-05	1	1
SCN5A	3	0	0	0	1	1	0.000156991440098208	1	1
SCN8A	12	0	0	0	1	1	0.00013399618419241	1	1
SCN9A	2	0	0	0	1	1	0.000115444891711064	1	1
SCNN1D	1	0	0	0	2	1	1.32350250078339e-09	1	1
SCTR	2	0	0	1	0	1	3.00775032844597e-05	1	1
SCYL1	11	0	0	0	1	1	6.1134512657025e-05	1	1
SDAD1	4	0	0	0	1	1	4.3143124577608e-05	1	1
SDC1	2	0	0	0	1	1	2.08821550552442e-05	1	1
SDK1	7	0	0	0	2	1	1.67072248622238e-08	1	1
SEL1L2	20	0	0	0	1	1	4.10740753343606e-05	1	1
SEMA3A	7	0	0	0	1	1	5.17586696282071e-05	1	1
SEMA3C	7	0	0	0	2	1	1.25577234533832e-09	1	1
SEPT2	2	0	0	0	1	1	2.45356860758553e-05	1	1
SEPT3	22	0	0	0	1	1	2.65421647528581e-05	1	1
SEPT4	17	0	0	0	1	1	1.74874231410596e-05	1	1
SEPT8	5	0	0	0	1	1	3.41044663373901e-05	1	1
SEPW1	19	0	0	0	1	1	6.71159766481051e-06	1	1
SERAC1	6	0	0	0	2	1	9.14090080653378e-10	1	1
SERHL2	22	1	0	0	0	3.45700354825571e-06	2.28612802982192e-05	6.07946138686368e-05	0.00876004699127996
SERINC4	15	0	0	0	1	1	1.82079235148341e-05	1	1
SERPINA3	14	0	0	0	1	1	2.63871802856454e-05	1	1
SERPINH1	11	0	1	0	0	3.53728127089312e-06	4.0597321975056e-05	6.07946138686368e-05	0.00896347074044316
SERTAD4	1	0	1	0	0	3.41346084748731e-06	2.17055467474553e-05	6.07946138686368e-05	0.00864970978753285
SESN1	6	0	1	0	0	4.76076403310042e-06	3.49104743289022e-05	6.17590090923661e-05	0.0120637760598765
SESN3	11	0	0	0	1	1	3.315862225903e-05	1	1
SESTD1	2	0	0	0	1	1	4.26403783154959e-05	1	1
SETBP1	18	0	0	0	1	1	0.000101349029265342	1	1
SETD1B	12	0	0	0	1	1	0	1	1
SETD3	14	0	0	0	1	1	4.15844034602641e-05	1	1
SETD5	3	0	2	0	1	7.50063569698592e-11	1.3103117203679e-13	6.10314137502161e-09	1.90066108561623e-07
SETD9	5	0	1	0	0	3.14278505841629e-06	2.00519949371307e-05	6.07946138686368e-05	0.00796381733802687
SEZ6	17	0	0	0	1	1	6.80287692207955e-05	1	1
SF3A3	1	0	0	0	1	1	3.26536457786285e-05	1	1
SF3B1	2	0	1	0	0	1.333757204508e-05	8.46143949057987e-05	9.33630043155598e-05	0.0337974075622326
SF3B3	16	0	0	0	2	1	3.46109539287007e-09	1	1
SFXN5	2	0	0	0	1	1	2.80666473167082e-05	1	1
SGCZ	8	0	0	0	1	1	1.86113782831359e-05	1	1
SGK223	8	0	0	0	1	1	0.000113012749131083	1	1
SGK3	8	0	0	0	1	1	2.82887913195123e-05	1	1
SGTB	5	0	0	0	1	1	1.80433914146258e-05	1	1
SH3BP4	2	0	0	0	1	1	7.54060329359809e-05	1	1
SHISA6	17	0	0	0	1	1	0	1	1
SHROOM3	4	0	0	0	1	1	0.000130686112761709	1	1
SI	3	0	0	0	2	1	6.40747698939362e-09	1	1
